FECHA;CONCEPTO;TIPO;MONTO
2026-04-01;Ingresos por Mercado Pago;INGRESO;0.0
2026-04-01;Rendimientos;INGRESO;84.91425
2026-04-01;Ingresos EFECTIVO;INGRESO;0.0
2026-04-01;Ingresos SANTANDER;INGRESO;0.0
2026-04-01;Ingresos E-CHEQ;INGRESO;810.33095
2026-04-01;Alquiler Local;GASTO;0.0
2026-04-01;Luz;GASTO;322.96
2026-04-01;Gas;GASTO;44.75
;Internet;GASTO;0.0
2026-04-01;Movistar;GASTO;32.0
2026-04-01;Servicio Limpieza;GASTO;540.0
2026-04-01;Flores;GASTO;90.0
2026-04-01;Autónomos;GASTO;66.38976
2026-04-01;Ingresos Brutos;GASTO;0.0
2026-06-01;IVA;GASTO;0.0
;Impuesto a las Ganancias;GASTO;0.0
2026-04-01;Sueldos blanco;GASTO;0.0
2026-04-01;Sueldos negro;GASTO;0.0
2026-04-01;Cargas sociales;GASTO;0.0
2026-04-01;Sindicato;GASTO;0.0
;Aguinaldos;GASTO;0.0
2026-04-01;Profesionales;GASTO;0.0
2026-04-01;Viandas Profesionales;GASTO;239.2
2026-04-01;Gastos Limpieza;GASTO;344.5
2026-04-01;Seguros Signos;GASTO;84.718
;Insumos diarios;GASTO;0.0
2026-04-01;Laboratorio;GASTO;0.0
2026-04-01;Cardiología;GASTO;988.0
2026-04-01;Neurología;GASTO;500.0
2026-04-01;Psicopedagóga;GASTO;200.0
;Fonoaudióloga;GASTO;0.0
2026-04-01;Neumonólogo;GASTO;36.0
2026-04-01;RX;GASTO;120.0
2026-04-01;Ergometria;GASTO;100.0
2026-04-01;Boletas REPAT;GASTO;0.0
2026-04-01;Boletas RNR;GASTO;146.4
2026-04-01;FALTANTE;AJUSTE;46.0
2026-04-01;SOBRANTE;AJUSTE;8.0
2026-04-01;Comisiones Mercado PAGO;GASTO;982.85038
2026-05-01;Ingresos por Mercado Pago;INGRESO;0.0
2026-05-01;Rendimientos;INGRESO;144.5361
2026-05-01;Ingresos EFECTIVO;INGRESO;0.0
2026-05-01;Ingresos SANTANDER;INGRESO;641.279
2026-05-01;Ingresos E-CHEQ;INGRESO;0.0
2026-05-01;Alquiler Local;GASTO;0.0
2026-05-01;Luz;GASTO;341.802
2026-05-01;Gas;GASTO;114.017
;Internet;GASTO;0.0
2026-05-01;Movistar;GASTO;33.341
2026-05-01;Servicio Limpieza;GASTO;540.0
2026-05-01;Flores;GASTO;90.0
2026-05-01;Autónomos;GASTO;68.315
2026-05-01;Ingresos Brutos;GASTO;903.57878
;IVA;GASTO;0.0
;Impuesto a las Ganancias;GASTO;0.0
2026-05-01;Sueldos blanco;GASTO;0.0
2026-05-01;Sueldos negro;GASTO;0.0
2026-05-01;Cargas sociales;GASTO;0.0
2026-05-01;Sindicato;GASTO;53.77738
;Aguinaldos;GASTO;0.0
